Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
Ant-Man,2015,Walt Disney Studios Motion Pictures,130000000,57225526,180202163,339109802,519311965,10-Jul-15,1 hr 57 min,PG-13
Harry Potter and the Sorcerer's Stone,2001,Warner Bros.,125000000,90294621,318886962,705155727,1024042690,16-Nov-01,2 hr 32 min,PG
Brave,2012,Walt Disney Studios Motion Pictures,185000000,66323594,237283207,301700000,538983207,21-Jun-12,1 hr 33 min,PG
The Green Hornet,2011,Sony Pictures Entertainment (SPE),120000000,33526876,98780042,129037206,227817248,12-Jan-11,1 hr 59 min,PG-13
Hannibal,2001,Metro-Goldwyn-Mayer (MGM),87000000,58003121,165092268,186600000,351692268,9-Feb-01,2 hr 11 min,R
Horrible Bosses,2011,Warner Bros.,35000000,28302165,117538559,92300000,209838559,7-Jul-11,1 hr 38 min,R
Sherlock Holmes,2009,Warner Bros.,90000000,62304277,209028679,315000000,524028679,1-Jan-09,2 hr 8 min,PG-13
Immortals,2011,Relativity Media,75000000,32206425,83504017,143400000,226904017,10-Nov-11,1 hr 50 min,R
Lara Croft: Tomb Raider,2001,Paramount Pictures,115000000,47735743,131168070,143535270,274703340,15-Jun-01,1 hr 40 min,PG-13
1917,2019,Universal Pictures,95000000,576216,159227644,225351828,384579472,25-Dec-19,1 hr 59 min,R
Hotel Transylvania 3: Summer Vacation,2018,Sony Pictures Entertainment (SPE),80000000,44076225,167510016,361073758,528583774,28-Jun-18,1 hr 37 min,PG
Sex and the City,2008,Warner Bros.,65000000,57038404,152647258,266118261,418765519,28-May-08,2 hr 25 min,R
Coming to America,1988,Paramount Pictures,June 29 1988 (Domestic),21404420,128152301,160600000,288752301,20-Mar-14,2 hr 19 min,PG-13
RoboCop,2014,Sony Pictures Entertainment (SPE),100000000,21681430,58607007,184081958,242688965,30-Jan-14,1 hr 57 min,PG-13
The Fate of the Furious,2017,Universal Pictures,250000000,98786705,226008385,1009996733,1236005118,12-Apr-17,2 hr 16 min,PG-13
Mission: Impossible - Dead Reckoning Part One,2023,Paramount Pictures,291000000,54688347,172135383,395400000,567535383,8-Jul-23,2 hr 43 min,PG-13
Thor: Ragnarok,2017,Walt Disney Studios Motion Pictures,180000000,122744989,315058289,540243517,855301806,24-Oct-17,2 hr 10 min,PG-13
Air Force One,1997,Sony Pictures Entertainment (SPE),85000000,37132505,172956409,142200000,315156409,25-Jul-97,2 hr 4 min,R
The Matrix,1999,Warner Bros.,63000000,27788331,172076928,295145800,467222728,31-Mar-99,2 hr 16 min,R
50 First Dates,2004,Sony Pictures Entertainment (SPE),75000000,39852237,120908074,77612860,198520934,13-Feb-04,1 hr 39 min,PG-13
A Few Good Men,1992,Columbia Pictures,41000000,15517468,141340178,101900000,243240178,11-Dec-92,2 hr 18 min,R
The Battle at Lake Changjin,2021,CMC Pictures,October 1 2021 (China),105768,342411,902206065,902548476,26-Oct-18,2 hr 14 min,PG-13
Shazam!,2019,Warner Bros.,100000000,53505326,140480049,227318962,367799011,3-Apr-19,2 hr 12 min,PG-13
Meet the Fockers,2004,Universal Pictures,80000000,46120980,279261160,243396776,522657936,22-Dec-04,1 hr 55 min,PG-13
Star Wars: Episode II - Attack of the Clones,2002,Twentieth Century Fox,115000000,80027814,310676740,343103230,653779970,16-May-02,2 hr 22 min,PG
Pearl Harbor,2001,Walt Disney Studios Motion Pictures,140000000,59078912,198542554,250678391,449220945,25-May-01,3 hr 3 min,PG-13
Kingsman: The Secret Service,2014,Twentieth Century Fox,81000000,36206331,128261724,286089822,414351546,30-Jan-15,2 hr 9 min,R
Monsters Inc.,2001,Walt Disney Studios Motion Pictures,115000000,62577067,290642256,289065482,579707738,2-Nov-01,1 hr 32 min,G
Casper,1995,Universal Pictures,May 26 1995 (Domestic),16840385,100328194,187600000,287928194,17-Jan-18,2 hr 23 min,PG-13
Cloudy with a Chance of Meatballs 2,2013,Sony Pictures Entertainment (SPE),78000000,34017930,119793567,154532382,274325949,26-Sep-13,1 hr 35 min,PG
Dune,2021,Warner Bros.,September 15 2021 (France),41011174,108327830,293700000,402027830,18-Jul-18,1 hr 54 min,PG-13
Fantastic Beasts: The Secrets of Dumbledore,2022,Warner Bros.,April 6 2022 (Belgium),42151256,95850844,311300000,407150844,30-Apr-03,2 hr 14 min,PG-13
Pitch Perfect 2,2015,Universal Pictures,29000000,69216890,184296230,102847849,287144079,7-May-15,1 hr 55 min,PG-13
Jumper,2008,Twentieth Century Fox,85000000,27354808,80172128,144959985,225132113,13-Feb-08,1 hr 28 min,PG-13
Open Season,2006,Sony Pictures Entertainment (SPE),85000000,23624548,85105259,115706430,200811689,29-Sep-06,1 hr 26 min,PG
Maleficent,2014,Walt Disney Studios Motion Pictures,180000000,69431298,241410378,518443307,759853685,28-May-14,1 hr 37 min,PG
Taken 3,2014,Twentieth Century Fox,48000000,39201657,89256424,237222717,326479141,1-Jan-15,1 hr 48 min,PG-13
No Time to Die,2021,Metro-Goldwyn-Mayer (MGM),September 29 2021 (South Korea),55225007,160891007,613262000,774153007,25-May-77,2 hr 1 min,PG
Ice Age: Continental Drift,2012,Twentieth Century Fox,95000000,46629259,161321843,715922939,877244782,27-Jun-12,1 hr 28 min,PG
World War Z,2013,Paramount Pictures,190000000,66411834,202807711,337648165,540455876,19-Jun-13,1 hr 56 min,PG-13
Marley & Me,2008,Twentieth Century Fox,December 24 2008 (Jamaica),36357586,143153751,112589342,255743093,20-Mar-19,1 hr 56 min,R
Sound of Freedom,2023,Angel Studios,July 4 2023 (Domestic),19680879,183234204,29352969,212587173,22-Dec-00,1 hr 49 min,PG-13
American Wedding,2003,Universal Pictures,55000000,33369440,104565114,128157821,232722935,1-Aug-03,1 hr 36 min,R
Once Upon a Time in Hollywood,2019,Sony Pictures Entertainment (SPE),90000000,41082018,142502728,235114870,377617598,25-Jul-19,2 hr 41 min,R
Miss Peregrine's Home for Peculiar Children,2016,Twentieth Century Fox,110000000,28871140,87242834,209239612,296482446,28-Sep-16,2 hr 7 min,PG-13
The Santa Clause,1994,Walt Disney Studios Motion Pictures,22000000,19321992,145539357,45000000,190539357,11-Nov-94,1 hr 37 min,PG
Ice Age,2002,Twentieth Century Fox,59000000,46312454,176387405,206869731,383257136,14-Mar-02,1 hr 21 min,PG
Bohemian Rhapsody,2018,Twentieth Century Fox,52000000,51061119,216668042,694141269,910809311,26-Oct-18,2 hr 14 min,PG-13
The Holiday,2006,Sony Pictures Entertainment (SPE),85000000,12778913,63224849,142625320,205850169,5-Dec-06,2 hr 16 min,PG-13
Disclosure,1994,Warner Bros.,55000000,10068126,83015089,131000000,214015089,9-Dec-94,2 hr 8 min,R
Life Is Beautiful,1997,Miramax,October 23 1998 (Domestic),118920,57563264,172535749,230099013,19-Jun-08,1 hr 50 min,PG-13
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Walt Disney Studios Motion Pictures,230000000,62983253,172558876,623363422,795922298,24-May-17,2 hr 9 min,PG-13
A Quiet Place Part II,2020,Paramount Pictures,May 26 2021 (Indonesia),47547231,160072261,137300000,297372261,7-Jun-18,1 hr 50 min,PG-13
The Final Destination,2009,Warner Bros.,40000000,27408309,66477700,119689439,186167139,26-Aug-09,1 hr 22 min,R
Fantastic Beasts: The Crimes of Grindelwald,2018,Warner Bros.,200000000,62163104,159555901,495300000,654855901,12-Oct-18,2 hr 14 min,PG-13
Grown Ups,2010,Sony Pictures Entertainment (SPE),80000000,40506562,162001186,109456115,271457301,24-Jun-10,1 hr 42 min,PG-13
Chicago,2002,Miramax,45000000,2074929,170687518,136089214,306776732,26-Feb-02,1 hr 53 min,PG-13
Jupiter Ascending,2015,Warner Bros.,176000000,18372372,47387723,136500000,183887723,4-Feb-15,2 hr 7 min,PG-13
Mr. Popper's Penguins,2011,Twentieth Century Fox,55000000,18445355,68224452,119137302,187361754,16-Jun-11,1 hr 34 min,PG
Lightyear,2022,Walt Disney Studios Motion Pictures,June 15 2022 (EMEA APAC),50577961,118307188,108118232,226425420,10-Feb-10,1 hr 58 min,PG
Moana,2016,Walt Disney Studios Motion Pictures,November 23 2016 (Domestic),56631401,248757044,438471864,687228908,8-Mar-12,2 hr 22 min,PG-13
Star Wars: Episode I - The Phantom Menace,1999,Twentieth Century Fox,115000000,64820970,474544677,552538030,1027082707,19-May-99,2 hr 16 min,PG
Fantastic Four,2005,Twentieth Century Fox,100000000,56061504,154696080,178839854,333535934,6-Jul-05,1 hr 46 min,PG-13
Anger Management,2003,Revolution Studios,75000000,42220847,135645823,60100000,195745823,11-Apr-03,1 hr 46 min,PG-13
Superman,1978,Warner Bros.,55000000,7465343,134478449,166000000,300478449,15-Dec-78,2 hr 23 min,PG
Epic,2013,Twentieth Century Fox,100000000,33531068,107518682,160907952,268426634,16-May-13,1 hr 42 min,PG
Rocky IV,1985,United Artists,November 27 1985 (Domestic),19991537,127873716,172600000,300473716,15-Dec-78,2 hr 23 min,PG
Charlie's Angels: Full Throttle,2003,Sony Pictures Entertainment (SPE),120000000,37634221,100830111,158345677,259175788,26-Jun-03,1 hr 46 min,PG-13
RED,2010,Summit Entertainment,58000000,21761408,90380162,108626225,199006387,14-Oct-10,1 hr 51 min,PG-13
A Christmas Carol,2009,Walt Disney Studios Motion Pictures,200000000,30051075,137855863,187430783,325286646,9-Sep-09,1 hr 36 min,PG
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney Studios Motion Pictures,140000000,46630690,305413918,348850097,654264015,9-Jul-03,2 hr 23 min,PG-13
Harry Potter and the Deathly Hallows: Part 2,2011,Warner Bros.,July 13 2011 (EMEA APAC),169189427,381447587,960912354,1342359942,22-Apr-15,2 hr 21 min,PG-13
Jurassic Park,1993,Universal Pictures,63000000,47026828,407185075,705953473,1113138548,11-Jun-93,2 hr 7 min,PG-13
A Star Is Born,2018,Warner Bros.,36000000,42908051,215333122,220900000,436233122,3-Oct-18,2 hr 16 min,R
City of Angels,1998,Warner Bros.,April 10 1998 (Domestic),15369048,78685114,120000000,198685114,14-Oct-10,1 hr 51 min,PG-13
Ice Age: Collision Course,2016,Twentieth Century Fox,105000000,21373064,64063008,344691967,408754975,30-Jun-16,1 hr 34 min,PG
The Amazing Spider-Man,2012,Sony Pictures Entertainment (SPE),230000000,62004688,262030663,495900000,757930663,28-Jun-12,2 hr 16 min,PG-13
Thor: Love and Thunder,2022,Walt Disney Studios Motion Pictures,July 6 2022 (APAC EMEA),144165107,343256830,417671251,760928081,30-Jul-14,2 hr 1 min,PG-13
How to Train Your Dragon 2,2014,Twentieth Century Fox,145000000,49451322,177002924,444534595,621537519,5-Jun-14,1 hr 42 min,PG
Batman & Robin,1997,Warner Bros.,125000000,42872605,107353792,130881927,238235719,20-Jun-97,2 hr 5 min,PG-13
Megamind,2010,DreamWorks,130000000,46016833,148415853,173469912,321885765,28-Oct-10,1 hr 35 min,PG
Space Jam,1996,Warner Bros.,November 15 1996 (Domestic),27528529,90594962,140000000,230594962,19-Jun-08,1 hr 50 min,PG-13
Hercules,2014,Paramount Pictures,100000000,29800263,72688614,172131248,244819862,23-Jul-14,1 hr 38 min,PG-13
Eragon,2006,Twentieth Century Fox,100000000,23239907,75030163,175395349,250425512,13-Dec-06,1 hr 44 min,PG
Everest,2015,Universal Pictures,55000000,7222035,43482270,159945314,203427584,10-Sep-15,2 hr 1 min,PG-13
Valentine's Day,2010,Warner Bros.,52000000,56260707,110528528,106000000,216528528,10-Feb-10,2 hr 5 min,PG-13
Good Will Hunting,1997,Miramax,December 5 1997 (Domestic),272912,138433435,87500000,225933435,20-Jul-17,2 hr 16 min,PG-13
Die Hard 2,1990,Twentieth Century Fox,70000000,21744661,117540947,122490327,240031274,6-Jul-90,2 hr 4 min,NA
The Pursuit of Happyness,2006,Sony Pictures Entertainment (SPE),55000000,26541709,163566459,143561166,307127625,15-Dec-06,1 hr 57 min,PG-13
Logan,2017,Twentieth Century Fox,97000000,88411916,226277068,392902882,619179950,1-Mar-17,2 hr 17 min,R
Shang-Chi and the Legend of the Ten Rings,2021,Walt Disney Studios Motion Pictures,September 1 2021 (EMEA APAC),75388688,224543292,207700000,432243292,2-Jul-03,1 hr 49 min,R
Dunkirk,2017,Warner Bros.,100000000,50513488,189740665,337275642,527016307,19-Jul-17,1 hr 46 min,PG-13
The Bourne Identity,2002,Universal Pictures,60000000,27118640,121661683,92372541,214034224,14-Jun-02,1 hr 59 min,PG-13
Furious 7,2015,Universal Pictures,190000000,147187040,353007020,1162334379,1515341399,1-Apr-15,2 hr 17 min,PG-13
Panic Room,2002,Sony Pictures Entertainment (SPE),48000000,30056751,96397334,100682212,197079546,29-Mar-02,1 hr 52 min,R
Eraser,1996,Warner Bros.,100000000,24566446,101295562,141000000,242295562,21-Jun-96,1 hr 55 min,R
Juno,2007,Fox Searchlight,7500000,413869,143495265,88877416,232372681,5-Dec-07,1 hr 36 min,PG-13
The English Patient,1996,Miramax,27000000,278439,78676425,153300000,231976425,15-Nov-96,2 hr 42 min,R
Erin Brockovich,2000,Universal Pictures,52000000,28138465,125595205,130676081,256271286,17-Mar-00,2 hr 11 min,R
X-Men,2000,Twentieth Century Fox,75000000,54471475,157299718,139039810,296339528,13-Jul-00,1 hr 44 min,PG-13
Honey I Shrunk the Kids,1989,Walt Disney Studios Motion Pictures,June 23 1989 (Domestic),14262961,130724172,92000000,222724172,19-Feb-14,1 hr 46 min,PG-13
Spy Kids 3: Game Over,2003,Dimension Films,38000000,32500000,111761982,85339696,197101678,25-Jul-03,1 hr 24 min,PG
Men in Black 3,2012,Sony Pictures Entertainment (SPE),225000000,54592779,179020854,475192631,654213485,23-May-12,1 hr 46 min,PG-13
Shrek 2,2004,DreamWorks Distribution,150000000,108037878,441226247,487534523,928760770,19-May-04,1 hr 33 min,PG
Fifty Shades of Grey,2015,Universal Pictures,40000000,85171450,166167230,403484237,569651467,11-Feb-15,2 hr 5 min,R
Pokémon: Detective Pikachu,2019,Warner Bros.,150000000,54365242,144174568,305588070,449762638,3-May-19,1 hr 44 min,PG
S.W.A.T.,2003,Sony Pictures Entertainment (SPE),80000000,37062535,116934650,90790989,207725639,8-Aug-03,1 hr 57 min,PG-13
The Emoji Movie,2017,Sony Pictures Entertainment (SPE),50000000,24531923,86089513,131687133,217776646,27-Jul-17,1 hr 26 min,PG
The Blind Side,2009,Warner Bros.,29000000,34119372,255982860,53248834,309231694,20-Nov-09,2 hr 9 min,PG-13
The Other Woman,2014,Twentieth Century Fox,40000000,24763752,83911193,112799203,196710396,17-Apr-14,1 hr 49 min,PG-13
Pixels,2015,Sony Pictures Entertainment (SPE),88000000,24011616,78747585,166127224,244874809,16-Jul-15,1 hr 45 min,PG-13
The Incredibles,2004,Walt Disney Studios Motion Pictures,92000000,70467623,261441092,370165961,631607053,5-Nov-04,1 hr 55 min,PG
What Happens in Vegas,2008,Twentieth Century Fox,35000000,20172474,80277646,139097916,219375562,7-May-08,1 hr 39 min,PG-13
Harry Potter and the Prisoner of Azkaban,2004,Warner Bros.,130000000,93687367,250105651,547752679,797858331,2-Jun-04,2 hr 22 min,PG
The Horse Whisperer,1998,Walt Disney Studios Motion Pictures,May 15 1998 (Domestic),13685488,75383563,111500000,186883563,20-Jul-07,1 hr 55 min,PG-13
What Women Want,2000,Paramount Pictures,70000000,33614543,182811707,191300000,374111707,15-Dec-00,2 hr 7 min,PG-13
Sing,2016,Universal Pictures,75000000,35258145,270578425,363759959,634338384,2-Dec-16,1 hr 48 min,PG
Need for Speed,2014,Walt Disney Studios Motion Pictures,66000000,17844939,43577636,159700000,203277636,12-Mar-14,2 hr 12 min,PG-13
Insidious: The Red Door,2023,Screen Gems,July 5 2023 (APAC EMEA),33013036,82156962,106341657,188498619,25-May-88,1 hr 42 min,NA
Miss Congeniality,2000,Warner Bros.,45000000,10046534,106807667,105935053,212742720,22-Dec-00,1 hr 49 min,PG-13
Hugo,2011,Paramount Pictures,November 23 2011 (Domestic),11364505,73864507,111905803,185770310,6-Nov-98,1 hr 30 min,PG-13
Beauty and the Beast,1991,Walt Disney Studios Motion Pictures,25000000,162146,218967620,186043788,424967620,15-Nov-91,1 hr 24 min,NA
Rush Hour 3,2007,New Line Cinema,140000000,50237000,140125968,117971154,258097122,8-Aug-07,1 hr 31 min,PG-13
Storks,2016,Warner Bros.,70000000,21311407,72800603,110709675,183510278,22-Sep-16,1 hr 27 min,PG
Hitch,2005,Sony Pictures Entertainment (SPE),70000000,43142214,179495555,192098655,371594210,11-Feb-05,1 hr 58 min,PG-13
The Secret Life of Pets 2,2019,Universal Pictures,80000000,46652680,158874395,272184209,431058604,24-May-19,1 hr 26 min,PG
The Village,2004,Walt Disney Studios Motion Pictures,60000000,50746142,114197520,142500000,256697520,13-Aug-03,1 hr 48 min,PG-13
Schindler's List,1993,Universal Pictures,22000000,656636,96898818,225262427,322161245,15-Dec-93,3 hr 15 min,R
Geostorm,2017,Warner Bros.,120000000,13707376,33700160,187900000,221600160,12-Oct-17,1 hr 49 min,PG-13
The Break-Up,2006,Universal Pictures,52000000,39172785,118703275,86964935,205668210,2-Jun-06,1 hr 46 min,PG-13
It Chapter Two,2019,Warner Bros.,79000000,91062152,211622525,261500000,473122525,4-Sep-19,2 hr 49 min,R
American Pie 2,2001,Universal Pictures,30000000,45117985,145103595,142450000,287553595,10-Aug-01,1 hr 48 min,R
Madagascar,2005,DreamWorks Distribution,May 27 2005 (APAC Domestic),47224594,193595521,348468325,542063846,11-Mar-15,1 hr 45 min,PG
Cliffhanger,1993,TriStar Pictures,70000000,16176967,84049211,170951000,255000211,28-May-93,1 hr 53 min,R
Alice Through the Looking Glass,2016,Walt Disney Studios Motion Pictures,170000000,26858726,77041381,222779417,299820798,25-May-16,1 hr 53 min,PG
Captain America: The Winter Soldier,2014,Walt Disney Studios Motion Pictures,170000000,95023721,259766572,454654931,714421503,26-Mar-14,2 hr 16 min,PG-13
Tomb Raider,2018,Warner Bros.,94000000,23633317,58250803,216400000,274650803,7-Mar-18,1 hr 59 min,PG-13
Valkyrie,2008,United Artists,75000000,21027007,83077833,118467684,201545517,25-Dec-08,2 hr 1 min,PG-13
Detective Chinatown 2,2018,Warner Bros.,February 15 2018 (APAC),704047,1983984,542201172,544185156,24-May-00,2 hr 3 min,PG-13
Robots,2005,Twentieth Century Fox,75000000,36045301,128200012,134311478,262511490,10-Mar-05,1 hr 31 min,PG
Walk the Line,2005,Twentieth Century Fox,28000000,22347341,119519402,67278584,186797986,2-Feb-05,2 hr 16 min,PG-13
A Beautiful Mind,2001,Universal Pictures,58000000,367151,170742341,146048916,316791257,21-Dec-01,2 hr 15 min,PG-13
Superman Returns,2006,Warner Bros.,270000000,52535096,200081192,191000000,391081192,28-Jun-06,2 hr 34 min,PG-13
Toy Story,1995,Walt Disney Studios Motion Pictures,November 22 1995 (Domestic),29140617,223225679,171210907,394436586,16-Jun-78,1 hr 50 min,PG
Troy,2004,Warner Bros.,175000000,46865412,133378256,364031596,497409852,12-May-04,2 hr 43 min,R
Flightplan,2005,Walt Disney Studios Motion Pictures,September 23 2005 (Domestic),24629938,89707299,133680000,223387299,11-Nov-94,2 hr 3 min,R
Out of Africa,1985,Universal Pictures,December 20 1985 (Domestic),3637290,87071205,140443000,227514205,12-Jan-11,1 hr 59 min,PG-13
The Mummy Returns,2001,Universal Pictures,98000000,68139035,202019785,241261119,443280904,4-May-01,2 hr 10 min,PG-13
The Sum of All Fears,2002,Paramount Pictures,68000000,31178526,118907036,75014336,193921372,31-May-02,2 hr 4 min,PG-13
Jumanji: Welcome to the Jungle,2017,Sony Pictures Entertainment (SPE),90000000,36169328,404540171,590798946,995339117,20-Dec-17,1 hr 59 min,PG-13
Austin Powers in Goldmember,2002,New Line Cinema,63000000,73071188,213307889,83630912,296938801,26-Jul-02,1 hr 34 min,PG-13
While You Were Sleeping,1995,Walt Disney Studios Motion Pictures,17000000,9288915,81057016,101000000,182057016,21-Apr-95,1 hr 43 min,PG
Maze Runner: The Scorch Trials,2015,Twentieth Century Fox,61000000,30316510,81697192,230598864,312296056,9-Sep-15,2 hr 11 min,PG-13
21 Jump Street,2012,Sony Pictures Entertainment (SPE),42000000,36302612,138447667,63137661,201585328,15-Mar-12,1 hr 49 min,R
Minions,2015,Universal Pictures,74000000,115718405,336045770,823398892,1159444662,9-Apr-15,1 hr 31 min,PG
A Good Day to Die Hard,2013,Twentieth Century Fox,92000000,24834845,67349198,237304984,304654182,6-Feb-13,1 hr 38 min,R
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,170000000,72611427,208545589,502098977,710644566,9-Jul-14,2 hr 10 min,PG-13
Chicken Little,2005,Walt Disney Studios Motion Pictures,150000000,40049778,135386665,179046172,314432837,4-Nov-05,1 hr 21 min,G
Dark Shadows,2012,Warner Bros.,150000000,29685274,79727149,165800000,245527149,9-May-12,1 hr 53 min,PG-13
Spider-Man,2002,Sony Pictures Entertainment (SPE),139000000,114844116,407022860,418002176,825025036,3-May-02,2 hr 1 min,PG-13
It,2017,Warner Bros.,35000000,123403419,328874981,372967570,701842551,6-Sep-17,2 hr 15 min,R
Now You See Me,2013,Lionsgate,75000000,29350389,117723989,234000000,351723989,29-May-13,1 hr 55 min,PG-13
The Divergent Series: Insurgent,2015,Lionsgate,110000000,52263680,130179072,166823455,297002527,18-Mar-15,1 hr 59 min,PG-13
Titanic,1997,Paramount Pictures,200000000,28638131,674292608,1590450697,2264743305,19-Dec-97,3 hr 14 min,PG-13
Doctor Strange in the Multiverse of Madness,2022,Walt Disney Studios Motion Pictures,May 4 2022 (EMEA APAC),187420998,411331607,544444197,955775804,22-May-07,2 hr 49 min,PG-13
Arrival,2016,Paramount Pictures,47000000,24074047,100546139,102842047,203388186,10-Nov-16,1 hr 56 min,PG-13
102 Dalmatians,2000,Walt Disney Studios Motion Pictures,85000000,19883351,66957026,116654745,183611771,22-Nov-00,1 hr 40 min,NA
The Greatest Showman,2017,Twentieth Century Fox,84000000,8805843,174340174,261392355,435732529,15-Dec-17,1 hr 45 min,PG
Star Wars: Episode V - The Empire Strikes Back,1980,Twentieth Century Fox,18000000,4910483,292753960,190685234,538375067,21-May-80,2 hr 4 min,PG
Planes,2013,Walt Disney Studios Motion Pictures,50000000,22232291,90288712,149883071,240171783,9-Aug-13,1 hr 31 min,PG
Jason Bourne,2016,Universal Pictures,120000000,59215365,162434410,253050504,415484914,27-Jul-16,2 hr 3 min,PG-13
Jumanji,1995,Sony Pictures Entertainment (SPE),65000000,11084370,100499940,162322000,262821940,15-Dec-95,1 hr 44 min,PG
Knives Out,2019,Lionsgate,40000000,26769548,165363234,147534686,312897920,21-Nov-19,2 hr 10 min,PG-13
Sister Act,1992,Walt Disney Studios Motion Pictures,May 29 1992 (Domestic),11894587,139605150,92000000,231605150,15-Nov-96,2 hr 42 min,R
Hook,1991,TriStar Pictures,70000000,13522535,119654823,181200000,300854823,11-Dec-91,2 hr 22 min,NA
Parasite,2019,Neon,11400000,393216,53369749,209311533,262681282,30-May-19,2 hr 12 min,R
Austin Powers: The Spy Who Shagged Me,1999,New Line Cinema,33000000,54917604,206040086,107661208,313701294,9-Jun-99,1 hr 35 min,PG-13
The Lord of the Rings: The Fellowship of the Ring,2001,New Line Cinema,93000000,47211490,316115420,582089000,898204420,19-Dec-01,2 hr 58 min,PG-13
Mr. & Mrs. Smith,2005,Twentieth Century Fox,110000000,50342878,186336279,300951367,487287646,8-Jun-05,2 hr,PG-13
Star Trek Beyond,2016,Paramount Pictures,185000000,59253211,158848340,184623476,343471816,20-Jul-16,2 hr 2 min,PG-13
Knocked Up,2007,Universal Pictures,30000000,30690990,148768917,71153500,219922417,1-Jun-07,2 hr 9 min,R
The Maze Runner,2014,Twentieth Century Fox,34000000,32512804,102427862,245891999,348319861,11-Sep-14,1 hr 53 min,PG-13
Suicide Squad,2016,Warner Bros.,175000000,133682248,325100054,421746840,746846894,3-Aug-16,2 hr 3 min,PG-13
Alvin and the Chipmunks,2007,Twentieth Century Fox,60000000,44307417,217326974,148025572,365352546,12-Dec-07,1 hr 32 min,PG
Incredibles 2,2018,Walt Disney Studios Motion Pictures,June 14 2018 (16 markets),182687905,608581744,634643923,1243225667,16-Mar-17,2 hr 9 min,PG
Batman Returns,1992,Warner Bros.,80000000,45687711,162924631,103990656,266915287,19-Jun-92,2 hr 6 min,PG-13
The Mummy: Tomb of the Dragon Emperor,2008,Universal Pictures,145000000,40457770,102491776,300958054,403449830,30-Jul-08,1 hr 52 min,PG-13
The Mask,1994,New Line Cinema,23000000,23117068,119938730,231644677,351583407,29-Jul-94,1 hr 41 min,PG-13
Warcraft,2016,Universal Pictures,160000000,24166110,47365290,391683624,439048914,25-May-16,2 hr 3 min,PG-13
The Shape of Water,2017,Fox Searchlight,December 1 2017 (Domestic),166564,63859435,131384029,195243464,24-May-19,2 hr 1 min,R
Lethal Weapon 2,1989,Warner Bros.,July 7 1989 (Domestic),20388800,147253986,80600000,227853986,25-Jun-93,1 hr 45 min,PG
The Pelican Brief,1993,Warner Bros.,December 17 1993 (Domestic),16864404,100768056,94500000,195268056,24-May-19,2 hr 1 min,R
The Sorcerer's Apprentice,2010,Walt Disney Studios Motion Pictures,150000000,17619622,63150991,152132751,215283742,14-Jul-10,1 hr 49 min,PG
DC League of Super-Pets,2022,Warner Bros.,July 22 2022 (Iceland),23003441,93657117,113900000,207557117,8-Aug-03,1 hr 57 min,PG-13
The X Files,1998,Twentieth Century Fox,June 19 1998 (Domestic),30138758,83898313,105278110,189176423,4-Aug-00,1 hr 52 min,R
The Expendables 2,2012,Lionsgate,100000000,28591370,85028192,229947763,314975955,15-Aug-12,1 hr 43 min,R
Avatar,2009,Twentieth Century Fox,237000000,77025481,785221649,2138484377,2923706026,16-Dec-09,2 hr 42 min,PG-13
Interstellar,2014,Paramount Pictures,165000000,47510360,188020017,515150820,703170837,5-Nov-14,2 hr 49 min,PG-13
Captain America: The First Avenger,2011,Paramount Pictures,140000000,65058524,176654505,193915269,370569774,22-Jul-11,2 hr 4 min,PG-13
Minions: The Rise of Gru,2022,Universal Pictures,June 23 2022 (Australia),107010140,369695210,569933000,939628210,30-May-03,1 hr 40 min,G
Batman Begins,2005,Warner Bros.,150000000,48745440,206863479,166809514,373672993,15-Jun-05,2 hr 20 min,PG-13
Shrek Forever After,2010,DreamWorks,165000000,70838207,238736787,513864080,752600867,20-May-10,1 hr 35 min,PG
The Great Wall,2016,Universal Pictures,150000000,18469620,45540830,289393001,334933831,16-Dec-16,1 hr 43 min,PG-13
Justice League,2017,Warner Bros.,October 17 2017 (Lithuania),93842239,229024295,428902692,657926987,26-May-11,1 hr 30 min,PG
You Don't Mess with the Zohan,2008,Sony Pictures Entertainment (SPE),90000000,38531374,100018837,104294563,204313400,5-Jun-08,1 hr 53 min,PG-13
Breakup Buddies,2014,China Lion Film Distribution,September 30 2014 (China),230204,777896,188239700,189017596,4-Aug-00,1 hr 52 min,R
Puss in Boots,2011,DreamWorks,130000000,34077439,149260504,405726973,554987477,27-Oct-11,1 hr 30 min,PG
Jurassic Park III,2001,Universal Pictures,93000000,50771645,181171875,187608934,368780809,5-Jul-01,1 hr 32 min,PG-13
Central Intelligence,2016,Warner Bros.,50000000,35535250,127440871,89531672,216972543,15-Jun-16,1 hr 47 min,PG-13
Howl's Moving Castle,2004,Walt Disney Studios Motion Pictures,November 20 2004 (Japan),427987,6789268,230746858,237536126,20-Jun-97,2 hr 5 min,PG-13
Sweet Home Alabama,2002,Walt Disney Studios Motion Pictures,30000000,35648740,127223418,53399006,180622424,27-Sep-02,1 hr 48 min,PG-13
Doctor Dolittle,1998,Twentieth Century Fox,June 26 1998 (Domestic),29014324,144156605,150300000,294456605,18-Feb-10,2 hr 18 min,R
